service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
01,0,0,0,0,0,0,1,20170101,20171231
03,0,1,0,0,0,0,0,20170101,20171231
04,0,0,1,0,0,0,0,20170101,20171231
05,0,0,0,1,0,0,0,20170101,20171231
06,0,0,0,0,1,0,0,20170101,20171231
07,0,0,0,0,0,1,0,20170101,20171231
08,1,1,1,1,1,0,0,20170101,20171231
09,1,0,0,0,0,0,0,20170101,20171231
10,1,1,1,1,1,0,0,20170101,20171231
11,0,0,0,0,0,0,1,20170101,20171231
12,0,0,0,0,0,0,1,20171224,20171224
13,0,0,1,0,0,0,0,20170216,20170216
14,1,1,1,1,1,0,0,20170101,20170131
16,0,0,0,0,0,0,1,20171217,20171217
24,0,0,0,1,0,0,0,20170210,20170210
27,1,1,1,1,1,0,0,20170101,20171231
28,1,1,1,1,1,0,0,20170101,20171231
29,1,1,1,1,1,0,0,20170101,20171231
