fare_id,route_id,origin_id, destination_id, contains_id
M01,METRO 01,,,
OAL,205   01,,,
OAL,206   01,,,
OAL,301   01,,,
OAL,302   01,,,
OAL,302   04,,,
OAL,302   05,,,
OAL,303   01,,,
OAL,303   03,,,
OAL,304   01,,,
OAL,305   01,,,
OAL,305   02,,,
OAL,305   03,,,
OAL,305   04,,,
OAL,305   05,,,
OAL,305   06,,,
OAL,308   01,,,
OAL,308   02,,,
OAL,309   01,,,
OAL,310   01,,,
OAL,311   01,,,
OAL,311   02,,,
OAL,311   03,,,
OAL,311   04,,,
OAL,311   05,,,
OAL,313   01,,,
OAL,314   01,,,
OAL,315   01,,,
OAL,318   02,,,
OAL,318   05,,,
OAL,318   06,,,
OAL,318   08,,,
OAL,325   01,,,
OAL,325   02,,,
OAL,326   01,,,
OAL,327   01,,,
OAL,327   02,,,
OAL,327   03,,,
OAL,328   01,,,
OAL,328   02,,,
OAL,329   01,,,
OAL,329   02,,,
OAL,330   01,,,
OAL,330   02,,,
OAL,330   03,,,
OAL,330   04,,,
OAL,330   05,,,
OAL,330   06,,,
OAL,330   08,,,
OAL,331   01,,,
OAL,331   02,,,
OAL,331   03,,,
OAL,332   01,,,
OAL,332   02,,,
OAL,335   01,,,
OAL,3350  01,,,
OAL,337   01,,,
OAL,340   01,,,
OAL,341   01,,,
OAL,342   01,,,
OAL,342   02,,,
OAL,342   03,,,
OAL,342   04,,,
OAL,406   01,,,
OAL,503   01,,,
OAL,504   01,,,
OAL,506   01,,,
OAL,506   02,,,
OAL,507   01,,,
OAL,510   01,,,
OAL,511   01,,,
OAL,533   01,,,
OAL,535   01,,,
OAL,607   01,,,
OAL,608   01,,,
OAL,608   04,,,
OAL,609   01,,,
OAL,609   02,,,
OAL,609   03,,,
OAL,614   01,,,
OAL,614   02,,,
OAL,614   03,,,
OAL,614   04,,,
OAL,614   05,,,
OAL,615   01,,,
OAL,615   02,,,
OAL,616   01,,,
OAL,616   02,,,
OAL,617   01,,,
OAL,617   02,,,
OAL,617   03,,,
OAL,618   01,,,
OAL,618   02,,,
OAL,618   03,,,
OAL,619   01,,,
OAL,619   02,,,
OAL,619   03,,,
OAL,620   01,,,
OAL,621   01,,,
OAL,621   05,,,
OAL,622   01,,,
OAL,622   07,,,
OAL,623   01,,,
OAL,623   02,,,
OAL,624   01,,,
OAL,624   02,,,
OAL,625   01,,,
OAL,625   02,,,
OAL,626   02,,,
OAL,626   05,,,
OAL,626   06,,,
OAL,627   02,,,
OAL,627   06,,,
OAL,630   01,,,
OAL,631   01,,,
OAL,631   02,,,
OAL,633   01,,,
OAL,633   02,,,
OAL,634   01,,,
OAL,634   04,,,
OAL,634   05,,,
OAL,635   02,,,
OAL,636   02,,,
OAL,637   01,,,
OAL,637   04,,,
OAL,637   07,,,
OAL,638   01,,,
OAL,639   01,,,
OAL,640   01,,,
OAL,641   01,,,
OAL,642   01,,,
OAL,642   02,,,
OAL,642   03,,,
OAL,643   01,,,
OAL,644   01,,,
OAL,644   02,,,
OAL,644   03,,,
OAL,645   01,,,
OAL,702   01,,,
OAL,703   01,,,
OAL,705   01,,,
OAL,705   06,,,
OAL,706   01,,,
OAL,707   01,,,
OAL,708   01,,,
OAL,709   01,,,
OAL,710   01,,,
OAL,711   01,,,
OAL,712   01,,,
OAL,712   02,,,
OAL,712   03,,,
OAL,712   04,,,
OAL,713   01,,,
OAL,713   03,,,
OAL,714   01,,,
OAL,715   01,,,
OAL,716   01,,,
OAL,717   01,,,
OAL,717   02,,,
OAL,717   03,,,
OAL,718   01,,,
OAL,719   01,,,
OAL,719   02,,,
OAL,719   03,,,
OAL,732   01,,,
OAL,734   01,,,
OAL,735   01,,,
OAL,736   01,,,
OAL,737   01,,,
OAL,737   03,,,
OAL,738   01,,,
OAL,739   01,,,
OAL,739   03,,,
OAL,806   01,,,
OAL,807   01,,,
OAL,808   01,,,
OAL,808   07,,,
OAL,809   01,,,
OAL,810   01,,,
OAL,811   01,,,
OAL,812   01,,,
OAL,813   01,,,
OAL,813   02,,,
OAL,814   01,,,
OAL,814   02,,,
OAL,814   03,,,
OAL,815   01,,,
OAL,815   02,,,
OAL,815   04,,,
OAL,821   01,,,
OAL,822   01,,,
OAL,822   02,,,
OAL,822   03,,,
OAL,823   01,,,
OAL,823   02,,,
OAL,825   01,,,
OAL,832   01,,,
OAL,832   02,,,
OAL,832   03,,,
OAL,832   04,,,
OAL,832   05,,,
OAL,836   01,,,
OAL,837   01,,,
OAL,901   01,,,
OAL,901   03,,,
OAL,901   04,,,
OAT,512   01,,,
OCI,104   01,,,
OCI,105   01,,,
OCI,SC01A 01,,,
OCI,SC01B 01,,,
OCI,SC01R 01,,,
OCI,SC01R 02,,,
OCI,SC02A 01,,,
OCI,SC02B 01,,,
OCI,SC02B 02,,,
OCI,SC03A 01,,,
OCI,SC03B 01,,,
OCI,SC04A 01,,,
OCI,SC04B 01,,,
ODI,1404A 03,,,
ODI,1404A 05,,,
ODI,1404B 01,,,
ODI,1404C 01,,,
ODI,1502  01,,,
ODI,1505  01,,,
ODI,1505  02,,,
ODI,1505  03,,,
ODI,1509  07,,,
ODI,1510  01,,,
ODI,2101  01,,,
ODI,2101  02,,,
ODI,2102  01,,,
ODI,2102  02,,,
ODI,2103  01,,,
ODI,2104  01,,,
ODI,2104  02,,,
ODI,2104  04,,,
ODI,3501A 01,,,
ODI,3501A 05,,,
ODI,3501A 06,,,
ODI,3501A 10,,,
ODI,3501A 11,,,
ODI,3501A 12,,,
ODI,3501B 01,,,
ODI,3502  01,,,
ODI,3503A 01,,,
ODI,3503A 02,,,
ODI,3503A 03,,,
ODI,3503A 06,,,
ODI,4102  01,,,
ODI,4102  03,,,
ODI,4102  04,,,
ODI,4103  01,,,
ODI,4103  02,,,
ODI,4103  06,,,
ODI,4106  01,,,
ODI,4106  02,,,
ODI,4107  01,,,
ODI,4107  02,,,
ODI,4107  06,,,
ODI,4108  01,,,
ODI,4108  02,,,
ODI,4108  04,,,
ODI,4110  01,,,
ODI,4111  01,,,
ODI,4111  02,,,
ODI,4111  03,,,
ODI,4111  04,,,
ODI,4111  05,,,
ODI,4113  01,,,
ODI,4113  03,,,
ODI,4113  07,,,
ODI,4114  01,,,
ODI,4114  02,,,
ODI,4201  01,,,
ODI,4205  01,,,
ODI,4501  01,,,
ODI,4501  02,,,
ODI,4501  04,,,
ODI,4801A 01,,,
ODI,4801A 02,,,
ODI,4802A 01,,,
ODI,4802A 03,,,
ODI,4802A 05,,,
ODI,5031  01,,,
ODI,5031  02,,,
ODI,5101  01,,,
ODI,5101  02,,,
ODI,5102  01,,,
ODI,5102  03,,,
ODI,5102  04,,,
ODI,5102  06,,,
ODI,5102  09,,,
ODI,5106  01,,,
ODI,5106  02,,,
ODI,5106  03,,,
ODI,5106  04,,,
ODI,5106  05,,,
ODI,5106  06,,,
ODI,5201  03,,,
ODI,5201  09,,,
ODI,5201  10,,,
ODI,5401  01,,,
ODI,5401  05,,,
ODI,5401  06,,,
ODI,8001A 01,,,
ODI,8001A 02,,,
ODI,8001A 04,,,
ODI,8101  01,,,
ODI,8101  03,,,
ODI,8102  01,,,
ODI,8102  02,,,
ODI,8102  04,,,
ODI,8103  01,,,
ODI,8103  02,,,
ODI,8103  03,,,
ODI,8103  04,,,
ODI,8106  01,,,
ODI,8106  02,,,
ODI,8106  03,,,
ODI,8107  01,,,
ODI,8107  02,,,
ODI,8108  01,,,
ODI,8108  02,,,
ODI,8203  01,,,
ODI,8203  03,,,
ODI,8203  04,,,
ODI,8203  07,,,
ODI,8203  08,,,
ODI,8203  09,,,
ODI,8205  01,,,
ODI,8205  02,,,
ODI,8205  03,,,
ODI,8205  04,,,
ODI,8205  05,,,
ODI,8205  06,,,
ODI,8207  01,,,
ODI,8207  03,,,
ODI,8207  04,,,
ODI,8208  01,,,
ODI,8401  01,,,
ODI,8401  04,,,
ODI,8405  01,,,
ODI,8501  01,,,
ODI,9101  01,,,
ODI,9101  02,,,
ODI,9101  03,,,
ODI,9103  01,,,
ODI,9103  03,,,
ODI,9104  01,,,
ODI,9104  02,,,
ODI,9104  04,,,
ODI,9105  01,,,
ODI,9105  04,,,
ODI,9105  05,,,
ODI,9106  01,,,
ODI,9106  02,,,
ODI,9201  05,,,
ODI,9201  06,,,
ODI,9201  07,,,
ODI,9202  03,,,
ODI,9202  04,,,
ODI,9204  01,,,
ODI,9204  05,,,
ODI,9204  06,,,
ODI,9205  01,,,
ODI,9205  03,,,
ODI,9206  01,,,
ODI,9208  01,,,
ODI,9208  02,,,
ODI,9208  03,,,
ODI,9208  04,,,
ODI,9209  01,,,
ODI,9210  01,,,
ODI,9211  01,,,
ODI,9214  02,,,
ODI,9214  03,,,
ODI,9402  01,,,
ODI,9403  01,,,
ODI,9403  02,,,
ODI,9403  03,,,
ODI,9404  01,,,
ODI,9405  03,,,
ODI,9405  04,,,
ODI,9407  01,,,
ODI,9407  02,,,
ODI,9407  03,,,
ODI,9407  04,,,
ODI,9408  01,,,
ODI,9408  02,,,
ODI,9410  01,,,
ODI,9411  01,,,
ODI,9411  03,,,
ODI,9412  11,,,
ODI,9412  12,,,
ODI,9412  13,,,
ODI,9412  14,,,
ODI,9414  01,,,
ODI,9414  03,,,
ODI,9414  04,,,
ODI,9501  01,,,
ODI,9501  05,,,
ODI,9501  07,,,
ODI,9502  01,,,
ODI,9502  02,,,
ODI,9502  03,,,
ODI,9502  04,,,
ODI,9502  05,,,
ODI,9503  01,,,
ODI,9503  02,,,
ODI,9801  01,,,
ODI,9801  02,,,
ODI,9803  01,,,
ODI,9803  02,,,
ODI,9805  02,,,
ODI,9805  03,,,
OEC,SE02  01,,,
OPE,1170  01,,,
OPE,2150  01,,,
OPE,2151  01,,,
OPE,2152  01,,,
OPE,3150  01,,,
OPE,4150  02,,,
OPE,8150  01,,,
OPE,9250  02,,,
OPE,9250  04,,,
OPE,9550  01,,,
OPE,9550  02,,,
OPE,9550  03,,,
OPE,9850  01,,,
ORA,1030  05,,,
ORA,2033  01,,,
ORA,2034  01,,,
ORA,2035  01,,,
ORA,3030  01,,,
ORA,3030  02,,,
ORA,4031  01,,,
ORA,4032  01,,,
ORA,4032  02,,,
ORA,4032  03,,,
ORA,4033  01,,,
ORA,4033  03,,,
ORA,4034  01,,,
ORA,4034  02,,,
ORA,4034  07,,,
ORA,4034  09,,,
ORA,4034  10,,,
ORA,4037  01,,,
ORA,6030  01,,,
ORA,6030  02,,,
ORA,6031  01,,,
ORA,9030  01,,,
ORA,9030  02,,,
ORA,9031  01,,,
ORA,9032  01,,,
ORA,9032  05,,,
ORD,1505R 01,,,
OSE,1145  01,,,
OSE,3029  01,,,
OSE,3051  01,,,
OSE,3051  03,,,
OSE,3054  01,,,
OSE,3054  02,,,
OSE,3301A 01,,,
OSE,3301B 01,,,
OSE,3301B 02,,,
OSE,3302A 01,,,
OSE,3302A 03,,,
OSE,3302A 04,,,
OSE,3302A 07,,,
OSE,3302B 01,,,
OSE,3302B 02,,,
OSE,3302D 01,,,
OSE,4403A 01,,,
OSE,4403A 03,,,
OSE,4403A 05,,,
OSE,4403C 01,,,
OSE,4403D 01,,,
OSE,4403D 03,,,
OSE,4405  01,,,
OSE,4405  03,,,
OSE,4405  05,,,
OSE,4405  06,,,
OSE,4410  01,,,
OSE,5502C 01,,,
OSE,5502C 06,,,
OSE,5502C 07,,,
OSE,5502C 08,,,
OSE,5503A 02,,,
OSE,5503A 03,,,
OSE,5503A 04,,,
OSE,5503A 06,,,
OSE,5503A 07,,,
OSE,5503A 08,,,
OSE,5503B 02,,,
OSE,5506A 01,,,
OSE,5506A 02,,,
OTO,30    01,,,
OTO,30    02,,,
OTO,30    03,,,
OTO,30    08,,,
OTO,3050  01,,,
OTO,3050  10,,,
OTO,3050  14,,,
OTO,3050  15,,,
OTO,3050  16,,,
OTO,3050  17,,,
OTO,3052  01,,,
OTO,3052  02,,,
OTO,3052  04,,,
OTO,3052  05,,,
OTO,3053  01,,,
OTO,3053  02,,,
OTO,3055  01,,,
OTO,3055  04,,,
OTO,3055  05,,,
OTO,32    01,,,
OTO,32    02,,,
OTO,32    07,,,
OTO,33    01,,,
OTO,33    05,,,
OTO,33    06,,,
OTO,34    02,,,
OTO,35    01,,,
OTO,35    02,,,
OTO,50    01,,,
OTO,51    01,,,
OTO,51    02,,,
OTO,51    03,,,
OTO,52    01,,,
OTO,5250  01,,,
OTO,5250  02,,,
OTO,5250  03,,,
OTO,5250  04,,,
OTO,5550  01,,,
OTO,61    01,,,
OTO,62    01,,,
OTO,62    03,,,
OTO,62    07,,,
OTO,62    12,,,
OTO,62    13,,,
OTO,62    14,,,
OTO,63    01,,,
OTO,63    05,,,
OTO,63    06,,,
OTO,6350  01,,,
OTO,64    01,,,
OTO,64    03,,,
OTO,64    09,,,
OTO,64    10,,,
OTO,65    01,,,
OTO,66    01,,,
