trip_id,start_time,end_time,headway_secs
METRO 0110100101,05:00:00,05:59:59,1200
METRO 0110100101,06:00:00,06:59:59,900
METRO 0110100101,07:00:00,07:59:59,900
METRO 0110100101,08:00:00,08:59:59,900
METRO 0110100101,09:00:00,09:59:59,900
METRO 0110100101,10:00:00,10:59:59,900
METRO 0110100101,11:00:00,11:59:59,900
METRO 0110100101,12:00:00,12:59:59,900
METRO 0110100101,13:00:00,13:59:59,900
METRO 0110100101,14:00:00,14:59:59,900
METRO 0110100101,15:00:00,15:59:59,900
METRO 0110100101,16:00:00,16:59:59,900
METRO 0110100101,17:00:00,17:59:59,900
METRO 0110100101,18:00:00,18:59:59,900
METRO 0110100101,19:00:00,19:59:59,900
METRO 0110100101,20:00:00,20:59:59,900
METRO 0110100101,21:00:00,21:59:59,900
METRO 0110100101,22:00:00,22:59:59,900
METRO 0110100101,23:00:00,23:59:59,3600
METRO 0110700107,05:00:00,05:59:59,900
METRO 0110700107,06:00:00,06:59:59,720
METRO 0110700107,07:00:00,07:59:59,720
METRO 0110700107,08:00:00,08:59:59,720
METRO 0110700107,09:00:00,09:59:59,720
METRO 0110700107,10:00:00,10:59:59,720
METRO 0110700107,11:00:00,11:59:59,720
METRO 0110700107,12:00:00,12:59:59,720
METRO 0110700107,13:00:00,13:59:59,1800
METRO 0110700107,14:00:00,14:59:59,900
METRO 0110700107,15:00:00,15:59:59,900
METRO 0110700107,16:00:00,16:59:59,900
METRO 0110700107,17:00:00,17:59:59,900
METRO 0110700107,18:00:00,18:59:59,900
METRO 0110700107,19:00:00,19:59:59,900
METRO 0110700107,20:00:00,20:59:59,900
METRO 0110700107,21:00:00,21:59:59,900
METRO 0110700107,22:00:00,22:59:59,900
METRO 0110700107,23:00:00,23:59:59,3600
METRO 0110800108,05:00:00,05:59:59,900
METRO 0110800108,06:00:00,06:59:59,300
METRO 0110800108,07:00:00,07:59:59,300
METRO 0110800108,08:00:00,08:59:59,300
METRO 0110800108,09:00:00,09:59:59,720
METRO 0110800108,10:00:00,10:59:59,720
METRO 0110800108,11:00:00,11:59:59,720
METRO 0110800108,12:00:00,12:59:59,720
METRO 0110800108,13:00:00,13:59:59,720
METRO 0110800108,14:00:00,14:59:59,720
METRO 0110800108,15:00:00,15:59:59,600
METRO 0110800108,16:00:00,16:59:59,300
METRO 0110800108,17:00:00,17:59:59,300
METRO 0110800108,18:00:00,18:59:59,300
METRO 0110800108,19:00:00,19:59:59,360
METRO 0110800108,20:00:00,20:59:59,720
METRO 0110800108,21:00:00,21:59:59,720
METRO 0110800108,22:00:00,22:59:59,720
METRO 0110800108,23:00:00,23:59:59,1200
METRO 0120100101,05:00:00,05:59:59,1200
METRO 0120100101,06:00:00,06:59:59,900
METRO 0120100101,07:00:00,07:59:59,900
METRO 0120100101,08:00:00,08:59:59,900
METRO 0120100101,09:00:00,09:59:59,900
METRO 0120100101,10:00:00,10:59:59,900
METRO 0120100101,11:00:00,11:59:59,900
METRO 0120100101,12:00:00,12:59:59,900
METRO 0120100101,13:00:00,13:59:59,900
METRO 0120100101,14:00:00,14:59:59,900
METRO 0120100101,15:00:00,15:59:59,900
METRO 0120100101,16:00:00,16:59:59,900
METRO 0120100101,17:00:00,17:59:59,900
METRO 0120100101,18:00:00,18:59:59,900
METRO 0120100101,19:00:00,19:59:59,900
METRO 0120100101,20:00:00,20:59:59,900
METRO 0120100101,21:00:00,21:59:59,900
METRO 0120100101,22:00:00,22:59:59,900
METRO 0120100101,23:00:00,23:59:59,3600
METRO 0120700107,05:00:00,05:59:59,900
METRO 0120700107,06:00:00,06:59:59,720
METRO 0120700107,07:00:00,07:59:59,720
METRO 0120700107,08:00:00,08:59:59,720
METRO 0120700107,09:00:00,09:59:59,720
METRO 0120700107,10:00:00,10:59:59,720
METRO 0120700107,11:00:00,11:59:59,720
METRO 0120700107,12:00:00,12:59:59,720
METRO 0120700107,13:00:00,13:59:59,1800
METRO 0120700107,14:00:00,14:59:59,900
METRO 0120700107,15:00:00,15:59:59,900
METRO 0120700107,16:00:00,16:59:59,900
METRO 0120700107,17:00:00,17:59:59,900
METRO 0120700107,18:00:00,18:59:59,900
METRO 0120700107,19:00:00,19:59:59,900
METRO 0120700107,20:00:00,20:59:59,900
METRO 0120700107,21:00:00,21:59:59,900
METRO 0120700107,22:00:00,22:59:59,900
METRO 0120700107,23:00:00,23:59:59,3600
METRO 0120800108,05:00:00,05:59:59,900
METRO 0120800108,06:00:00,06:59:59,300
METRO 0120800108,07:00:00,07:59:59,300
METRO 0120800108,08:00:00,08:59:59,300
METRO 0120800108,09:00:00,09:59:59,720
METRO 0120800108,10:00:00,10:59:59,720
METRO 0120800108,11:00:00,11:59:59,720
METRO 0120800108,12:00:00,12:59:59,720
METRO 0120800108,13:00:00,13:59:59,720
METRO 0120800108,14:00:00,14:59:59,720
