route_id,route_short_name,route_long_name,route_type
101   01,101,Aglomerado Santa Lucia (Principal),3
102   01,102,Nossa Senhora De Fatima/Hospital Evangelico (Principal),3
102   02,102,Nossa Senhora De Fatima/Hospital Evangelico (Via Av. Cardoso),3
103   01,103,Vila Cafezal/Rua Pouso Alto (Principal),3
1030  05,1030,Avenida (Direta),3
104   01,104,Estacao Lagoinha / Avenida (Principal),3
105   01,105,Estacao Central / Lourdes (Principal),3
107   01,107,Vila Marcola / Rua Do Ouro (Principal),3
1145  01,1145,Bairro Das Industrias (Principal),3
1170  01,1170,Santa Lucia/Mangabeiras (Principal),3
1404A 03,1404A,Palmeiras / Alipio De Melo (Noturno),3
1404A 05,1404A,Palmeiras / Alipio De Melo (Principal),3
1404B 01,1404B,Estrela Do Oriente / Jardim Inconfidencia (Principal),3
1404C 01,1404C,Palmeiras / Sao Salvador (Principal),3
1502  01,1502,Vista Alegre / Guarani (Principal),3
1505  01,1505,Alto Dos Pinheiros/Tupi (Principal),3
1505  02,1505,Alto Dos Pinheiros/Tupi (Via Conjunto Felicidade),3
1505  03,1505,Alto Dos Pinheiros/Tupi (Noturno),3
1505R 01,1505R,Conjunto Felicidade / Centro (Principal),3
1509  07,1509,California/Tupi (Principal),3
1510  01,1510,Madre Gertrudes/Providencia (Principal),3
201   01,201,Morro Das Pedras (Principal),3
201   02,201,Morro Das Pedras (Via R.Nascimento Gurgel),3
201   03,201,Morro Das Pedras (Via Vila Monte Sao Jose),3
202   01,202,Estacao Vila Oeste (Principal),3
202   02,202,Estacao Vila Oeste (Via Madre Gertrudes),3
203   01,203,Morro Das Pedras/Ventosa (Principal),3
2033  01,2033,Betania / Centro (Principal),3
2034  01,2034,Conjunto Betania / Centro (Principal),3
2035  01,2035,Bairro Das Industrias / Centro (Principal),3
204   01,204,Estacao Vila Oeste / Nova Gameleira (Principal),3
205   01,205,Metro Calafate/Buritis (Principal),3
206   01,206,Circular Oeste (Principal),3
2101  01,2101,Grajau/Sion (Principal),3
2101  02,2101,Grajau/Sion (Desvio Feira Da Av. Afonso Pena),3
2102  01,2102,Gameleira / Serra (Principal),3
2102  02,2102,Gameleira / Serra (Desvio Feira Da Av. Afonso Pena),3
2103  01,2103,Prado/Anchieta (Principal),3
2104  01,2104,Nova Gameleira/Bh Shopping (Principal),3
2104  02,2104,Nova Gameleira/Bh Shopping (Desvio Feira Da Av.Afonso Pena),3
2104  04,2104,Nova Gameleira/Bh Shopping (Via Izabella Hendrix),3
2150  01,2150,Grajau/Sion Via Contorno (Principal),3
2151  01,2151,Vista Alegre/Serra (Principal),3
2152  01,2152,Salgado Filho/Cruzeiro (Principal),3
30    01,30,Estacao Diamante/Centro (Direta),3
30    02,30,Estacao Diamante/Centro (Paradora),3
30    03,30,Estacao Diamante/Centro (Paradora Via R.Dos Caetes),3
30    08,30,Estacao Diamante/Centro (Zoologico),3
301   01,301,Est.Diamante/Novo Sta.Cecilia V. Brasil Industrial (Principal),3
302   01,302,Estacao Diamante / Vila Pinho (Principal),3
302   04,302,Estacao Diamante / Vila Pinho (Noturno),3
302   05,302,Estacao Diamante / Vila Pinho (Via Conjunto Aguas Claras),3
3029  01,3029,Regina / Centro (Principal),3
303   01,303,Estacao Diamante / Santa Cecilia Via Castanheiras (Principal),3
303   03,303,Estacao Diamante / Santa Cecilia Via Castanheiras (Via Area Industrial),3
3030  01,3030,Pilar-Olhos D Agua / Centro (Principal),3
3030  02,3030,Pilar-Olhos D Agua / Centro (Desvio Feira Afonso Pena),3
304   01,304,Estacao Diamante / Jatoba Iv (Principal),3
305   01,305,Estacao Diamante / Mangueiras (Principal),3
305   02,305,Estacao Diamante / Mangueiras (Noturno),3
305   03,305,Estacao Diamante / Mangueiras (Via Setor Industrial),3
305   04,305,Estacao Diamante / Mangueiras (Est.Diamante/Av.Solf. Ricci),3
305   05,305,Estacao Diamante / Mangueiras (Partidas Da Av.Solferina Ricci),3
305   06,305,Estacao Diamante / Mangueiras (Partidas-R. Geraldo R. Filho),3
3050  01,3050,Estacao Diamante/Hospitais Via Bh Shopping (Principal),3
3050  10,3050,Estacao Diamante/Hospitais Via Bh Shopping (Retorno Savassi-Pico Manha),3
3050  14,3050,Estacao Diamante/Hospitais Via Bh Shopping (Retorno Bh Shopping),3
3050  15,3050,Estacao Diamante/Hospitais Via Bh Shopping (Direta Do Anel/Savassi- Tarde),3
3050  16,3050,Estacao Diamante/Hospitais Via Bh Shopping (Direta- Hospitais-Estacao),3
3050  17,3050,Estacao Diamante/Hospitais Via Bh Shopping (Retorno Savassi-Pico Tarde),3
3051  01,3051,Flavio Marques Lisboa / Savassi Via N.S.Carmo (Principal),3
3051  03,3051,Flavio Marques Lisboa / Savassi Via N.S.Carmo (Retorno Expresso),3
3052  01,3052,Estacao Diamante/Bh Shopping-Via Havai (Principal),3
3052  02,3052,Estacao Diamante/Bh Shopping-Via Havai (Hospitais Via Havai- Domingo),3
3052  04,3052,Estacao Diamante/Bh Shopping-Via Havai (Via Parque Das Mangabeiras),3
3052  05,3052,Estacao Diamante/Bh Shopping-Via Havai (Via Bairro Buritis),3
3053  01,3053,Estacao Barreiro/B.Preto (Principal),3
3053  02,3053,Estacao Barreiro/B.Preto (Atendimento A Via Expressa),3
3054  01,3054,Milionarios/Centro (Principal),3
3054  02,3054,Milionarios/Centro (Retorno Expresso),3
3055  01,3055,Estacao Barreiro/Savassi Via Bhshopping (Principal),3
3055  04,3055,Estacao Barreiro/Savassi Via Bhshopping (Direta Estacao/Savassi-Tarde),3
3055  05,3055,Estacao Barreiro/Savassi Via Bhshopping (Direta Savassi/Estacao-Manha),3
308   01,308,Estacao Barreiro / Tirol (Principal),3
308   02,308,Estacao Barreiro / Tirol (Noturno),3
309   01,309,Estacao Diamante / Bairro Petropolis (Principal-Vila Santa Rita),3
310   01,310,Estacao Diamante / 3 E 4 Secao (Principal),3
311   01,311,Estacao Diamante / Independencia (Principal),3
311   02,311,Estacao Diamante / Independencia (Noturno),3
311   03,311,Estacao Diamante / Independencia (Est. Barreiro/Independencia),3
311   04,311,Estacao Diamante / Independencia (R. F. Pitangueira/Est.Barreiro),3
311   05,311,Estacao Diamante / Independencia (R. F.Pitangueira/Est.Diamante),3
313   01,313,Estacao Diamante / Olaria (Principal),3
314   01,314,Estacao Diamante/Estacao Barreiro Via Santa Helena (Principal),3
315   01,315,Estacao Barreiro / Barreiro (Principal),3
3150  01,3150,Regina-Lindeia / Bh Shopping Via Anel Rodoviario (Principal),3
318   02,318,Estacao Barreiro/Jardim Liberdade Via Milionarios (Noturno-Atend. Aos Bairros Liberdade E Bonsucesso),3
318   05,318,Estacao Barreiro/Jardim Liberdade Via Milionarios (Principal - Estacao Barreiro),3
318   06,318,Estacao Barreiro/Jardim Liberdade Via Milionarios (Partidas Da Rua Jeremias),3
318   08,318,Estacao Barreiro/Jardim Liberdade Via Milionarios (Atendimento A Regiao Do Liberdade),3
319   01,319,Vila Cemig/Conj.Esperanca (Principal),3
319   02,319,Vila Cemig/Conj.Esperanca (Via Pca. Jose Verano),3
319   03,319,Vila Cemig/Conj.Esperanca (Via Hospital Julia Kubitschek),3
319   04,319,Vila Cemig/Conj.Esperanca (Via Bonsucesso),3
32    01,32,Estacao Barreiro/Centro-Tamoios (Direta),3
32    02,32,Estacao Barreiro/Centro-Tamoios (Paradora),3
32    07,32,Estacao Barreiro/Centro-Tamoios (Santo Agostinho - Direta),3
321   01,321,Olhos D Agua / Pilar (Principal),3
321   02,321,Olhos D Agua / Pilar (Via Setor Industrial),3
325   01,325,Estacao Barreiro / Flavio Marques Lisboa (Principal),3
325   02,325,Estacao Barreiro / Flavio Marques Lisboa (Noturno),3
326   01,326,Estacao Barreiro / Vale Do Jatoba (Principal),3
327   01,327,Estacao Barreiro / Cardoso A (Principal),3
327   02,327,Estacao Barreiro / Cardoso A (Via Clube Da Copasa),3
327   03,327,Estacao Barreiro / Cardoso A (Noturno),3
328   01,328,Estacao Barreiro / Cardoso B (Principal),3
328   02,328,Estacao Barreiro / Cardoso B (Partidas-R. Lucas C.Santos),3
329   01,329,Estacao Barreiro / Jatoba (Principal),3
329   02,329,Estacao Barreiro / Jatoba (Via Teresa Cristina),3
33    01,33,Estacao Barreiro/Centro-Hospitais (Principal Paradora),3
33    05,33,Estacao Barreiro/Centro-Hospitais (Direta),3
33    06,33,Estacao Barreiro/Centro-Hospitais (Direta - Retorno Na R. Da Bahia),3
330   01,330,Estacao Barreiro / Independencia (Principal),3
330   02,330,Estacao Barreiro / Independencia (Noturno),3
330   03,330,Estacao Barreiro / Independencia (Via Bairro Mineirao),3
330   04,330,Estacao Barreiro / Independencia (R.F. Pitangueira/Independencia),3
330   05,330,Estacao Barreiro / Independencia (R. Flor Pitangueira/Mineirao),3
330   06,330,Estacao Barreiro / Independencia (Est. Bar/Independ.-Expresso),3
330   08,330,Estacao Barreiro / Independencia (R. F. Pitangueira/Ret. Expresso),3
3301A 01,3301A,Santa Terezinha (Principal),3
3301B 01,3301B,Castelo (Principal),3
3301B 02,3301B,Castelo (Via Bairro Santana),3
3302A 01,3302A,Nova Pampulha Via Itamarati (Principal),3
