shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
EL1,-19.938481,-44.029928,0
EL1,-19.940009,-44.028000,1
EL1,-19.940534,-44.027506,2
EL1,-19.941441,-44.026819,3
EL1,-19.942359,-44.026240,4
EL1,-19.942793,-44.025789,5
EL1,-19.943136,-44.025199,6
EL1,-19.943448,-44.024105,7
EL1,-19.943509,-44.023740,8
EL1,-19.945314,-44.019084,9
EL1,-19.945556,-44.017957,10
EL1,-19.945617,-44.017335,11
EL1,-19.945597,-44.016747,12
EL1,-19.945758,-44.014710,13
EL1,-19.945637,-44.013766,14
EL1,-19.945354,-44.013058,15
EL1,-19.945112,-44.012586,16
EL1,-19.944064,-44.011513,17
EL1,-19.943479,-44.010676,18
EL1,-19.943196,-44.009710,19
EL1,-19.942954,-44.008315,20
EL1,-19.942752,-44.007436,21
EL1,-19.942571,-44.006964,22
EL1,-19.941159,-44.004925,23
EL1,-19.940534,-44.004110,24
EL1,-19.940150,-44.003745,25
EL1,-19.939182,-44.003123,26
EL1,-19.938153,-44.002586,27
EL1,-19.937710,-44.002114,28
EL1,-19.937286,-44.001385,29
EL1,-19.937125,-44.000848,30
EL1,-19.937004,-44.000162,31
EL1,-19.937044,-43.999883,32
EL1,-19.937125,-43.999389,33
EL1,-19.937508,-43.997887,34
EL1,-19.937568,-43.997136,35
EL1,-19.937427,-43.996449,36
EL1,-19.937246,-43.995956,37
EL1,-19.936943,-43.995484,38
EL1,-19.936499,-43.995076,39
EL1,-19.935995,-43.994733,40
EL1,-19.934038,-43.994068,41
EL1,-19.933292,-43.993703,42
EL1,-19.929479,-43.990613,43
EL1,-19.924416,-43.981086,44
EL1,-19.924335,-43.980699,45
EL1,-19.924275,-43.980313,46
EL1,-19.924295,-43.979948,47
EL1,-19.924355,-43.979584,48
EL1,-19.925768,-43.975635,49
EL1,-19.925828,-43.975206,50
EL1,-19.925747,-43.974756,51
EL1,-19.925606,-43.974219,52
EL1,-19.925344,-43.973618,53
EL1,-19.925021,-43.973168,54
EL1,-19.922580,-43.970550,55
EL1,-19.922177,-43.970078,56
EL1,-19.921773,-43.969670,57
EL1,-19.921450,-43.969241,58
EL1,-19.920341,-43.968039,59
EL1,-19.919937,-43.967589,60
EL1,-19.918525,-43.966215,61
EL1,-19.917981,-43.964413,62
EL1,-19.918586,-43.961924,63
EL1,-19.918626,-43.961237,64
EL1,-19.918162,-43.958019,65
EL1,-19.918061,-43.957826,66
EL1,-19.916932,-43.955036,67
EL1,-19.916770,-43.954564,68
EL1,-19.916730,-43.954135,69
EL1,-19.916689,-43.953641,70
EL1,-19.917375,-43.948942,71
EL1,-19.917355,-43.948255,72
EL1,-19.917335,-43.947998,73
EL1,-19.917234,-43.947698,74
EL1,-19.917133,-43.947376,75
EL1,-19.916831,-43.946882,76
EL1,-19.916407,-43.946367,77
EL1,-19.914813,-43.944994,78
EL1,-19.914087,-43.944393,79
EL1,-19.913724,-43.943964,80
EL1,-19.912836,-43.942419,81
EL1,-19.912211,-43.941303,82
EL1,-19.911989,-43.940681,83
EL1,-19.911908,-43.940252,84
EL1,-19.911908,-43.939823,85
EL1,-19.911868,-43.939286,86
EL1,-19.912110,-43.938664,87
EL1,-19.912634,-43.937848,88
EL1,-19.912917,-43.937119,89
EL1,-19.912998,-43.936776,90
EL1,-19.913018,-43.936110,91
EL1,-19.913018,-43.935488,92
EL1,-19.913038,-43.934158,93
EL1,-19.913119,-43.933600,94
EL1,-19.913179,-43.933364,95
