route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
101   01,01,101   0110100901,Aglomerado Santa Lucia (Principal) - Domingo E Feriado,0,,
101   01,07,101   0110701107,Aglomerado Santa Lucia (Principal) - Sabado,0,,
101   01,08,101   0110802108,Aglomerado Santa Lucia (Principal) - Dia Util,0,,
101   01,09,101   0110901309,Aglomerado Santa Lucia (Principal) - Dia Atipico,0,,
101   01,10,101   0111000910,Aglomerado Santa Lucia (Principal) - Dia Util-Ferias De Julho,0,,
101   01,13,101   0111300313,Aglomerado Santa Lucia (Principal) - Segunda-Feira De Carnaval,0,,
101   01,14,101   0111400814,Aglomerado Santa Lucia (Principal) - Dia Util-Ferias De Verao,0,,
101   01,24,101   0112401024,Aglomerado Santa Lucia (Principal) - Quarta-Feira De Cinzas,0,,
102   01,01,102   0110101101,Nossa Senhora De Fatima/Hospital Evangelico (Principal) - Domingo E Feriado,0,,
102   01,07,102   0110701507,Nossa Senhora De Fatima/Hospital Evangelico (Principal) - Sabado,0,,
102   01,08,102   0110802608,Nossa Senhora De Fatima/Hospital Evangelico (Principal) - Dia Util,0,,
102   01,09,102   0110901809,Nossa Senhora De Fatima/Hospital Evangelico (Principal) - Dia Atipico,0,,
102   01,10,102   0111001210,Nossa Senhora De Fatima/Hospital Evangelico (Principal) - Dia Util-Ferias De Julho,0,,
102   01,13,102   0111300513,Nossa Senhora De Fatima/Hospital Evangelico (Principal) - Segunda-Feira De Carnaval,0,,
102   01,14,102   0111400814,Nossa Senhora De Fatima/Hospital Evangelico (Principal) - Dia Util-Ferias De Verao,0,,
102   01,24,102   0112401024,Nossa Senhora De Fatima/Hospital Evangelico (Principal) - Quarta-Feira De Cinzas,0,,
102   02,01,102   0210100801,Nossa Senhora De Fatima/Hospital Evangelico (Via Av. Cardoso) - Domingo E Feriado,0,,
102   02,07,102   0210701107,Nossa Senhora De Fatima/Hospital Evangelico (Via Av. Cardoso) - Sabado,0,,
102   02,08,102   0210802008,Nossa Senhora De Fatima/Hospital Evangelico (Via Av. Cardoso) - Dia Util,0,,
102   02,09,102   0210901709,Nossa Senhora De Fatima/Hospital Evangelico (Via Av. Cardoso) - Dia Atipico,0,,
102   02,10,102   0211001110,Nossa Senhora De Fatima/Hospital Evangelico (Via Av. Cardoso) - Dia Util-Ferias De Julho,0,,
102   02,13,102   0211300413,Nossa Senhora De Fatima/Hospital Evangelico (Via Av. Cardoso) - Segunda-Feira De Carnaval,0,,
102   02,14,102   0211400814,Nossa Senhora De Fatima/Hospital Evangelico (Via Av. Cardoso) - Dia Util-Ferias De Verao,0,,
102   02,24,102   0212400724,Nossa Senhora De Fatima/Hospital Evangelico (Via Av. Cardoso) - Quarta-Feira De Cinzas,0,,
103   01,01,103   0110101401,Vila Cafezal/Rua Pouso Alto (Principal) - Domingo E Feriado,0,,
103   01,07,103   0110701507,Vila Cafezal/Rua Pouso Alto (Principal) - Sabado,0,,
103   01,08,103   0110802108,Vila Cafezal/Rua Pouso Alto (Principal) - Dia Util,0,,
103   01,09,103   0110901509,Vila Cafezal/Rua Pouso Alto (Principal) - Dia Atipico,0,,
